amendment_id,instrument_id,amending_instrument_id,change_summary,enactment_date,effective_date,verification_status
JP-AWMA-AM1,JP-AWMA,,"2019 (Reiwa 1) reform: raised killing/injuring penalty from 2yr/JPY2M to 5yr/JPY5M and cruelty/neglect/abandonment to 1yr/JPY1M (abandonment previously fine-only) - these PENALTY changes took effect at the reform's FIRST stage, 2020-06-01 (AUDIT-CORRECTED 2026-09-15; previously misdated to the third/final stage). Separately, the same reform mandated microchipping for dealers, restricted sale of puppies/kittens under 56 days old, and tightened numerical husbandry standards - these NON-PENALTY elements were staged later, through June 2022/2023/2024 (exact element-to-date mapping not independently re-verified this round).",2019-06-19,2020-06-01,snippet
SG-ABA-AM1,SG-ABA,,"Animals and Birds (Amendment) Act 2014 (Act 46 of 2014): largest substantive overhaul - added duty-of-care offence (s.41C), disqualification orders (s.43B), two-tier business/non-business penalty structure, investigation powers (ss.50-52A).",,2015-01-16,verified
UK-SCT-AHWA2006-AM1,UK-SCT-AHWA2006,UK-SCT-AWPPA2020,"Animals and Wildlife (Penalties, Protections and Powers) (Scotland) Act 2020 raised the maximum penalty under ss.19/23 to parity with the then-new England & Wales position (5yr indictable/unlimited fine, GBP20,000 summary cap), added disqualification-order duties (courts must positively consider necessity), service-animal protections, and fixed penalty notices.",2020-07-21,2020-07-21,verified
UK-NI-WAA2011-AM1,UK-NI-WAA2011,,Justice Act (Northern Ireland) 2016 - a PLAUSIBLE but UNCONFIRMED candidate source of the current 5yr/unlimited-fine maximum penalty for NI's most serious welfare offences; this specific attribution was not independently verified this round.,,2016-08-01,snippet
NL-WETDIEREN-AM1,NL-WETDIEREN,,"OM sentencing guideline 2023R010 (non-statutory but operationally binding on prosecutors) plus a strengthened STANDALONE houdverbod (ownership ban) mechanism, both effective 2024-01-01.",,2024-01-01,verified
IT-CP544-AM1,IT-CP544,IT-L822025,"Legge 82/2025 ('legge Brambilla'): renamed Titolo IX-bis to reposition animals (not human sentiment) as the protected legal interest; raised killing penalty from 4mo-2yr to 6mo-3yr base (1-4yr aggravated); raised fighting penalty from 1-3yr to 2-4yr; raised Art.727 abandonment minimum fine from EUR1,000 to EUR5,000; added Art.544-septies aggravating-circumstance clause; allows judicially-seized animals to be permanently transferred to animal-welfare associations before trial concludes.",2025-06-06,2025-07-01,verified
ES-CP-AM1,ES-LO32023,,"Ley Organica 3/2023 REPEALED Codigo Penal Art.337/337bis (in force since the 2015 reform) and REPLACED them with a new Titulo XVI bis containing Arts.340 bis-quinquies - a repeal-and-replace, not an incremental amendment. LO 1/2015 (the prior reform, snippet-level, not independently fetched this round) reportedly first broadened animal-abuse coverage including sexual exploitation and an expanded protected-animal list.",2023-03-28,2023-04-18,verified
NZ-AWA1999-AM1,NZ-AWA1999,,"Animal Welfare Amendment Act (No 2) 2015: inserted sentience recognition into the Act's LONG TITLE (not an operative section - title paragraph (a)(i) replaced, (a)(ia) inserted, by s.4 of the amending Act, 2015-05-10), banned cosmetic testing on animals, and broadened enforcement powers. UPGRADED 2026-09-15: the Long Title mechanism is now verified via cross-referenced secondary sources (previously only a vague 'stronger standards' summary was available). AUDIT-ADJACENT CORRECTION 2026-09-15: enactment_date/effective_date were left blank despite this row's own text already stating s.4 took effect 2015-05-10 - transcribed here. Whether this date represents the Amendment Act's royal assent versus a section-specific commencement date was not separately disambiguated this round; treat both fields as the best available single date, not independently confirmed as royal-assent-specifically.",2015-05-10,2015-05-10,snippet
NZ-AWA1999-AM2,NZ-AWA1999,,"Animal Welfare Amendment Act 2010: inserted new s.28A 'Reckless ill-treatment of animals', mirroring s.28's wilful-ill-treatment threshold (permanent disability/death/necessary destruction) but for reckless rather than wilful conduct. This is the amendment that raised the top penalty tier - NOT the 2015 Act as an earlier unverified placeholder in this database speculated.",,2010-07-07,snippet
NZ-AWA1999-AM3,NZ-AWA1999,,"Animal Welfare Amendment Act 2022: banned live export of cattle, sheep, deer, and goats by sea.",,2023-04-30,snippet
NZ-AWA1999-AM4,NZ-AWA1999,,"December 2025, under urgency: Parliament amended the Act to let farrowing crates continue indefinitely, reversing a 2020 High Court ruling and an 2025-12-18 phase-out deadline - while shortening permitted daily confinement from 33 to 7 days. A rare example within this database of a reform that REDUCES rather than strengthens a specific protection, well-corroborated across multiple independent secondary sources (SPCA NZ, Newsroom, The Spinoff, Community Scoop). Rodeo remains UNBANNED as of this database's compilation - a live political dispute routed through NAWAC's code-of-welfare process, no Act amendment found on that specific question.",2025-12,2025-12-18,snippet
NL-WETDIEREN-AM2,NL-WETDIEREN,,"Staatsblad 2023, 242 ('Wet aanpak dierenmishandeling en dierverwaarlozing', Art.II onderdeel G): amended Art.8.12 Wet dieren - lid 1&2 raised from 3 years/4th-category WED fine to 5 years/5th-category WED fine; lid 3 raised from 6 months/3rd-category to 1 year/4th-category. This resolves a previously-unresolved conflict between two secondary sources over the current criminal maximum (see NL-WETDIEREN-P1 notes).",2023-06-01,2024-01-01,verified
IT-CP544-AM2,IT-CP544,IT-L822025,"Direct-fetch confirmation of Legge 82/2025 Art.4 (creating Art.544-septies) and cross-verification of Art.544-quater/quinquies figures, superseding prior snippet-only sourcing for these specific articles - see IT-CP544-P1/P2 notes for the resolved figures.",2025-06-06,2025-07-01,verified
CH-TSCHG-AM2,CH-TSCHG,,"CORRECTION to the prior round's 'no confirmed amendment 2015-2026' claim: four Act-level coordination/technical amendments occurred - AS 2016 689 (2014-06-20 law, in force 2017-01-01, continuing-education-related); AS 2017 249 (food-law coordination, in force 2017-05-01); AS 2020 2743 (2020-06-12, Federal Customs Administration reorganization terminology, in force 2022-01-01); and a further amendment producing a consolidated version 'Stand am 1 September 2023' (coinciding with Switzerland's total data-protection-law revision's omnibus consequential amendments). NONE of these four touch animal-welfare policy or the penalty chapter (Arts.26-31) substantively.",,2023-09-01,snippet
US-CA-PC597-AM1,US-CA-PC597,"Stats. 2023, Ch. 546 (AB 829)","""Animal Cruelty and Violence Intervention Act of 2023"": deleted the prior DISCRETIONARY counseling recommendation for a defendant granted probation and replaced it with a MANDATORY court order requiring defendants convicted of specified offenses (including PC sec.597 animal cruelty) and granted probation to complete counseling designed to evaluate and treat behavior/conduct disorders. Does not change the underlying penalty structure recorded in US-CA-PC597-P1/P2 (still the pre-existing felony/misdemeanor wobbler, $20,000/36 months) - this amendment adds a probation CONDITION, not a new penalty tier.",2023-10-08,2024-01-01,snippet
US-TX-PC42092-AM1,US-TX-PC42092,"H.B. 285, 89th Legislature (""Pancho's Law"")","Amends sec.42.092(b)'s mens rea element from ""intentionally, knowingly, or recklessly"" to additionally include ""criminal negligence"" - closing a gap where serious harm from carelessness (a negligent trainer, boarder, or groomer) previously fell outside the statute's reach. Adds new subd.(d-1): a defense to a criminal-negligence prosecution for conduct occurring during the actual discharge of a licensed veterinarian's duties (or a person assisting the veterinarian). Passed House 125-5, Senate 31-0.",2025-06-20,2025-09-01,verified
CA-BC-PCAA-AM1,CA-BC-PCAA,"Prevention of Cruelty to Animals Amendment Act, S.B.C. 2011, c.7 (Bill 20)","CORRECTION (2026-09-16): this row's dollar figures were previously lost to a data-entry bug (a shell-interpolation error stripped every ""$NN,000"" figure down to "",000"" across several rows added in this batch) and have now been re-verified directly against the amending Act's own primary text. The Sled Dog Task Force reform, the BC government's direct response to the 2010 Whistler sled-dog cull (approx. 100 dogs killed by a tour-company employee): s.8 repeals and replaces s.24.1 with a single flat penalty of a fine not exceeding $75,000 or imprisonment not exceeding 2 years, or both - VERIFIED by direct reading of the enacted Act text (SBC 2011, c.7, s.8, ""Penalties""). The PRIOR penalty this replaced is not quoted in the amending Act itself (which only says ""repealed and substituted""); the best available secondary evidence (WebSearch-summarized, not a primary pre-2011 text read) suggests a two-tier structure under the old numbering - $2,000/6 months under old s.23, $10,000/6 months under old s.24 for a second-or-subsequent offence - snippet-tier, flagged as not independently confirmed. Also VERIFIED by direct reading: extended the limitation period for prosecution from 6 months to the current 3 years (s.6); added a mandatory veterinarian-reporting requirement (s.4, new s.22.1); created the Standards of Care regulatory framework (Part 2.1, ss.9.1-9.3, s.2 of the amending Act) and new inspection powers (s.3, new ss.15.1-15.2); the Act comes into force on Royal Assent (s.11), which is also the enactment date. A $100,000 grant to the BC SPCA for cruelty-investigation capacity accompanied the reform - VERIFIED by direct reading of the government's own announcement (news.gov.bc.ca/releases/2011PREM0030-000340, see SRC-CA-BC-02), not part of the Act's text itself.",2011-06-02,2011-06-02,verified
CA-BC-PCAA-AM2,CA-BC-PCAA,"Miscellaneous Statutes (Modernization) Amendment Act, 2023 (Bill 14)","Technical amendment only, confirmed by direct reading of the bill text: amends PCAA s.9(4)(b), a corporate-filing-address requirement for the Society, with no substantive change to any offence, penalty, scope, or enforcement provision.",2023-03-30,2023-03-30,verified
CA-AB-APA-AM1,CA-AB-APA,"Animal Protection Amendment Act, 2026 (Bill 22), chapter 6, Statutes of Alberta 2026","NOT YET IN FORCE as of 2026-09-16 - Royal Assent given but proclamation is pending, reportedly awaiting companion Animal Protection Regulation amendments, no proclamation date set. Once proclaimed: repeals and replaces s.12 in full, raising the fine ceiling from $20,000 to $250,000 and introducing imprisonment (up to 12 months) for the first time in this Act's history; adds a disgorgement-style order equal to the court's estimate of any financial benefit gained; adds per-animal and per-day offence multiplication; sets a 2-year limitation period; adds a much richer ""prohibition order"" regime (ownership transfer, warrantless compliance-monitoring conditions, mandatory veterinary-record sharing, mandatory sterilization, extending to a corporation's directors/officers without their own conviction); adds a mechanism making an animal-ownership prohibition order from ANY other Canadian province/territory automatically enforceable in Alberta (described by multiple sources as a first in Canada); adds a new offence for frivolous/vexatious complaints (new s.11.1).",2026-05-14,,verified
AU-NSW-POCTA1979-AM1,AU-NSW-POCTA1979,"Prevention of Cruelty to Animals Amendment (Puppy Farming) Act 2024 (NSW), No 85 of 2024","Inserts a new Part 2AA into the Act regulating commercial dog breeding: mandatory breeder identification/registration, advertising requirements when dogs are offered for sale or transfer, and a cap of 20 non-desexed adult female breeding dogs (over 6 months) per premises. A staged transition lets existing larger breeders holding an exemption step down to that cap by 2026-12-01. Also inserts a new s.4A (exact content not independently confirmed - see SRC-AUNSW-02). This is the most recent amendment to the Act ITSELF (as distinct from the separate Prevention of Cruelty to Animals Regulation 2025, commenced 2025-02-01, already noted on the parent instrument row) - resolves a previously flagged open gap.",2024-11-21,2025-12-01,snippet
EU-DIR9858-AM1,EU-DIR9858,"Council Regulation (EC) No 806/2003 of 14 April 2003",Pure comitology-alignment omnibus regulation adapting the committee procedure in several Council instruments (including this Directive) to Decision 1999/468/EC. Replaced Article 9 of Directive 98/58/EC (the committee-procedure article) - a procedural/administrative change with no effect on the Directive's substantive farmed-animal welfare obligations (Arts.3-4).,2003-04-14,2003-06-05,verified
EU-DIR9858-AM2,EU-DIR9858,"Regulation (EU) 2017/625 of the European Parliament and of the Council of 15 March 2017 (the 'Official Controls Regulation')","Per EUR-Lex's own relationship data for this Directive: repeals Article 7, repeals Article 6(1), replaces Article 2(3), replaces Article 6(2), and repeals Article 6(3)(a) of Directive 98/58/EC. These are enforcement/official-controls housekeeping provisions being folded into the EU's unified official-controls framework - the substantive farmed-animal welfare obligations (Arts.3-4) were not touched.",2017-03-15,2019-12-14,verified
AU-VIC-POCTA1986-AM1,AU-VIC-POCTA1986,"Statute Law Revision Act 2025 (Vic), No.41/2025, Schedule 2 item 23","Purely administrative correction, confirmed by direct reading of POCTA 1986's own authorized current-compilation PDF and its official endnotes: updated the s.3(1) definition of 'Department' to 'the Department of Energy, Environment and Climate Action' (an outdated department name), and repealed the s.3 definition of 'Department Head' entirely. No change to any offence, penalty, scope, or enforcement provision.",2025-10-21,2025-10-22,verified
CA-QC-BWSA-AM1,CA-QC-BWSA,"Règlement sur le bien-être et la sécurité des animaux domestiques de compagnie et des équidés (chapitre B-3.1, r. 0.1)","A regulation made under the BWSA's authority (not an amendment to the Act's own text) setting binding standards for companion animals (cats, dogs, rabbits, ferrets, guinea pigs, pet pigs) and equines (horses, ponies, miniature horses, donkeys and hybrids): environment/exercise/socialization/enrichment requirements, a mandatory veterinary exam before an animal's first breeding, a ban on cosmetic surgeries performed for mere human convenience (declawing, canine devocalization, ear/tail docking), incorporation of most of the National Farm Animal Care Council's equine Code of Practice as binding legal requirements, and a new permit requirement for operating an equine collection facility. Resolves the prior round's WATCH ITEM (MAPAQ's 2023-2024 annual report mentioned this regulation without naming it). legisquebec.gouv.qc.ca (the regulation's own text host) returned HTTP 403 on every attempt (CloudFront bot-block, including a direct PDF link) - sourced instead from two official Government of Quebec announcement pages.",,2024-02-10,verified
