instrument_id,jurisdiction_id,title_official,title_en,instrument_type,enactment_date,current_status,official_url,source_verification_tier,translation_status,notes
UK-NI-WAA2011,UK-NI,Welfare of Animals Act (Northern Ireland) 2011,Welfare of Animals Act (Northern Ireland) 2011,statute,,in_force,https://www.legislation.gov.uk/nia/2011/16/contents,verified,not_applicable,"Main provisions in operation from 2011-07-11; supersedes the Welfare of Animals Act (Northern Ireland) 1972. Structure mirrors England & Wales (s.4 unnecessary suffering, s.9 duty of care, s.14 abandonment - abandonment gets its OWN section here, unlike England). Confirmed technical amendments (not touching core offence/penalty structure, hence not modeled as amendments-table rows): Permitted Procedures by Lay Persons Regs (NI) 2012 (2012-04-02); Dog Breeding Establishments Regs (NI) 2013 (2013-04-01); Plant Health/EU Exit Regs (NI) 2020 (2020-12-31); Retained EU Law (Revocation and Reform) Act 2023 consequential regs (2024-01-01)."
EU-TFEU13,EU,"Treaty on the Functioning of the European Union, Article 13",TFEU Article 13,treaty,,in_force,,snippet,not_applicable,"Cross-cutting sentience-recognition MAINSTREAMING clause (not a self-executing offence) - applies across agriculture/fisheries/transport/internal-market/research/space policy, 'while respecting... religious rites, cultural traditions and regional heritage' of member states. Cited as the explicit template for the UK's 2022 Sentience Act. EUR-Lex direct fetch failed (empty/bot-blocked content) - text relayed via WebSearch quote only, NOT independently verified against the live page this round. No provisions rows created under this instrument - it is a policy-mainstreaming principle, not an offence."
EU-DIR9858,EU,Council Directive 98/58/EC,Council Directive 98/58/EC concerning the protection of animals kept for farming purposes,eu_directive,1998-07-20,in_force,,snippet,not_applicable,"Excludes wild animals, competition/show/cultural-event animals, experimental/lab animals, and ANY INVERTEBRATE from its farmed-animal welfare regime. Imposes a RESULT obligation on member states (ensure keepers avoid unnecessary pain/suffering/injury), leaving offence definitions/tiers/penalties to national transposition - no EU-level penalty exists. No provisions rows created under this instrument - present as a framework/harmonization layer only."
EU-AWPACKAGE,EU,EU Animal Welfare Package - Regulation on the welfare of dogs and cats and their traceability,EU dogs and cats welfare and traceability Regulation,regulation,,pending,,snippet,not_applicable,"Proposed 2023-12-07 by the Commission following a Fitness Check of existing EU animal-welfare law. STATUS AS OF SEPT 2026 GENUINELY UNCERTAIN: conflicting adoption dates across two official-source fetches - European Parliament Legislative Train page states Parliament adopted 2026-04-28/Council approved 2026-05-22; European Commission food-safety page instead states 'formally adopted and signed... in June 2026.' Both agree final/near-final adoption has been reached, awaiting Official Journal publication - DO NOT treat either specific date as authoritative without checking the EUR-Lex procedure file directly. Substantive provisions confirmed: EU-wide minimum standards for breeding establishments/pet shops/shelters; mandatory traceability/ID with a public verification website; minimum weaning age 8 weeks for puppies/kittens absent veterinary justification. A parallel Animal Transport Regulation revision remains under negotiation with no adoption date; broader on-farm welfare revisions appear deferred beyond 2027. No provisions rows created (not yet in force)."
NL-WETDIEREN,NL,Wet dieren,Animals Act,statute,2011-05-19,in_force,https://wetten.overheid.nl/BWBR0030250/,verified,not_applicable,Predecessor law Gezondheids- en welzijnswet voor dieren (1992) appears still PARTIALLY in the index (likely residual provisions pending full phase-out) - which parts remain is unconfirmed. A consolidated version effective 2025-01-01 exists but its specific amending act/content was NOT identified this round - open gap.
IT-CP544,IT,"Codice Penale, Titolo IX-bis, Articoli 544-bis - 544-septies",Penal Code Title IX-bis (crimes against animals),statute,2004-07-20,in_force,,snippet,not_applicable,"Title RENAMED by the 2025 reform (Legge 82/2025, 'legge Brambilla') from 'Dei delitti contro il sentimento per gli animali' (crimes against the sentiment for animals) to 'Dei delitti contro gli animali' (crimes against animals) [VERIFIED via direct Normattiva fetch] - repositioning animals themselves, not human sentiment, as the protected legal interest. This is the single most conceptually significant confirmed change in the 2025 reform."
IT-L822025,IT,"Legge 6 giugno 2025, n. 82",Law No. 82/2025 ('legge Brambilla'),statute,2025-06-06,in_force,"normattiva.it (act-detail page, only Article 1 surfaced via fetch)",verified,not_applicable,"First major reform of Italian animal-cruelty law in 20+ years. Published Gazzetta Ufficiale Serie Generale n.137 of 2025-06-16, in force since 2025-07-01."
ES-LEY72023,ES,"Ley 7/2023, de 28 de marzo, de protección de los derechos y el bienestar de los animales",Law 7/2023 on the protection of animal rights and welfare,statute,2023-03-28,in_force,BOE-A-2023-7936 (boe.es),verified,project_translation,A 'Corrección de errores' was later published (BOE-A-2023-9633) - content not examined this round.
ES-LO32023,ES,"Ley Orgánica 3/2023, de 28 de marzo",Organic Law 3/2023 (Penal Code reform on animal mistreatment),statute,2023-03-28,in_force,BOE-A-2023-7935 (boe.es),verified,project_translation,"CRITICAL CITATION CORRECTION: this law REPEALED Codigo Penal Art.337/337bis (the operative citation from the 2015 reform through 2023-04-17) and REPLACED them with a new Titulo XVI bis ('De los delitos contra los animales') containing four new articles: 340 bis, 340 ter, 340 quater, and 340 quinquies. A citation using 'art.337' as CURRENT is now an ERROR - 337 is the historical/superseded citation only."
AU-FED-AAWSG,AU-FED,Australian Animal Welfare Standards and Guidelines (AAWS&G),Australian Animal Welfare Standards and Guidelines,administrative_guideline,,in_force,,snippet,not_applicable,"NON-BINDING at the federal level - 'designed to be implemented in state and territory legislation,' developed by the multi-jurisdictional Animal Welfare Task Group, only legally binding once a state/territory enacts them. No provisions rows created under this instrument since it creates no enforceable federal offence. Australia has NO single federal animal-cruelty statute; welfare is constitutionally a state/territory responsibility. The Australian Animal Welfare Strategy (a 2000s national coordination framework) has effectively wound down - advisory committee disbanded, national funding withdrawn. The Export Control Act 2020 (Cth) premise (federal live-export legal basis) could NOT be verified this round - background knowledge only, not confirmed against a primary source."
AU-NSW-POCTA1979,AU-NSW,Prevention of Cruelty to Animals Act 1979 (NSW),Prevention of Cruelty to Animals Act 1979,statute,1979,in_force,legislation.nsw.gov.au (proxy-fetched structural summary),snippet,not_applicable,"AUDIT CORRECTION 2026-09-15: downgraded from verified to snippet for consistency - this row's own notes already describe proxy-fetched structural summary + secondary (animallaw.info) corroboration, not primary text. Primary statutory text obtained only as a structural summary via a text-extraction proxy (not verbatim); specific offence/penalty/scope facts are independently corroborated via animallaw.info (Michigan State University's Animal Legal & Historical Center, a secondary academic source, citation-backed but not primary text itself). Supported by the Prevention of Cruelty to Animals Regulation 2025, commenced 2025-02-01 (snippet-level). Could NOT confirm the year of the most recent amendment to the ACT ITSELF (distinct from the 2025 Regulation) - open gap."
AU-VIC-POCTA1986,AU-VIC,Prevention of Cruelty to Animals Act 1986 (Vic),Prevention of Cruelty to Animals Act 1986,statute,1986,in_force,legislation.vic.gov.au (proxy-fetched version-history page),snippet,not_applicable,"AUDIT CORRECTION 2026-09-15: downgraded from verified to snippet for consistency - this row's own notes already describe proxy-fetched structural summary + secondary (animallaw.info) corroboration, not primary text. PLANNED REPLACEMENT SHELVED: a promised replacement 'Animal Care and Protection Bill' (committed 2017, public consultation completed 2021-04-29 with 1,200+ submissions, an exposure draft promised for 2022) was confirmed by the Victorian Government on 2026-03-26 as NOT being introduced to Parliament in 2026, citing 'a crowded parliamentary agenda and reduced sitting days' - verified via two independent secondary sources. Whether the 2022 exposure draft was ever released, and what happened 2023-2025, could NOT be confirmed (agriculture.vic.gov.au status page consistently 403-blocked). BOTTOM LINE: as of Sept 2026, POCTA 1986 remains operative with no confirmed replacement timeline - 'reform stalled/shelved for 2026,' not abandoned outright and not enacted. Current compilation version 097 effective 2025-10-22 confirms at least one substantive amendment/consolidation that year; specific content not accessible this round."
NZ-AWA1999,NZ,Animal Welfare Act 1999,Animal Welfare Act 1999,statute,1999-10-14,in_force,"PDF reprint (Parliamentary Counsel Office text, as at 2007-09-03) hosted by University of Auckland Liggins Institute - see access_note",verified,not_applicable,"UPGRADED 2026-09-15: legislation.govt.nz and nzlii.org are blocked by a Cloudflare managed JavaScript challenge - confirmed via raw curl with browser-identical headers, not just WebFetch/proxy failures. This is a genuine technical wall, not a URL-pattern problem, and will keep blocking this database's automated methods until the live consolidated text can be reached some other way (e.g. a human with a real browser). What was recovered instead is a real primary-source PDF - the Parliamentary Counsel Office's own reprint 'as at 3 September 2007' - which is authentic official text but NOT the current (2026) consolidated version. Structure, definitions, and 2007-era penalty figures below are VERIFIED against this document; current (2026) penalty figures are corrections found only via secondary sources (snippet-level) describing later amendments, not independently confirmed against primary text."
NL-WVS254,NL,"Wetboek van Strafrecht, art. 254-254a",Criminal Code Arts. 254-254a (bestiality),statute,,in_force,maxius.nl mirror (wetten.overheid.nl would not render full article bodies),snippet,not_applicable,Art.254 (the sexual act itself) and Art.254a (production/distribution/possession of images depicting the act) are DISTINCT offences with DIFFERENT penalty tiers - a prior round had folded both into a single Wet dieren-attached row; this instrument separates them correctly. Neither sits in the Wet dieren (Animals Act) at all - both are Wetboek van Strafrecht (general Criminal Code) provisions.
