source_id,url,retrieved_date,verification_tier,fetch_method,access_note
SRC-USFED-02,uscode.house.gov 7 U.S.C. S2131 (AWA) source-credit notes,2026-09-15,verified,official_direct_fetch,"The specific S2132(g) exclusion-list wording was confirmed only via a secondary snippet (law.cornell.edu/govregs summaries), not independently fetched directly - treat the exact exclusion phrasing as snippet-tier even though the instrument itself is verified."
SRC-CAFED-01,laws-lois.justice.gc.ca ss.444-447.1 (each section fetched individually),2026-09-15,verified,official_direct_fetch,"The site carries a general 'current to 2026-07-21' banner - this is the Justice Laws database's general refresh date, NOT evidence these specific sections were amended in July 2026. Their own amendment-history lines stop at 2019 - do not misread the banner as a 2026 amendment."
SRC-UKENG-01,"legislation.gov.uk/ukpga/2006/45 (ss.4,9 text) + /2021/21 (Sentencing Act) + /2022/22 (Sentience Act s.5)",2026-09-15,verified,official_direct_fetch,
SRC-TW-01,law.moj.gov.tw/LawClass/LawAll.aspx?PCode=M0060027 + LawHistory.aspx + moa.gov.tw theme_data pages + ey.gov.tw draft-amendment page,2026-09-15,verified,official_direct_fetch,
SRC-HK-01,info.gov.hk LCQ9 (2025-04-02) + LCQ15 (2026-02-25) + afcd.gov.hk pr649.html (2006-12-06) + spca.org.hk pages,2026-09-15,verified,official_direct_fetch,"elegislation.gov.hk (the actual ordinance text) is a JS single-page app returning only a loading shell - all specific claims here are corroborated via official LegCo Q&A transcripts and an AFCD press release instead, not the primary statutory text directly."
SRC-MO-01,"search-engine synthesis (bo.io.gov.mo, bo.dsaj.gov.mo, iam.gov.mo all unreachable) + LOC Global Legal Monitor 2016-08-12 blurb (full text also unreachable)",2026-09-15,snippet,search_snippet,"Every direct fetch attempt to primary/secondary Macau sources failed (DNS/403/JS-shell) - the weakest-sourced jurisdiction in the entire database. Re-attempt with a browser-rendering tool, not text-only WebFetch, before treating any figure here as reliable."
SRC-JP-01,env.go.jp/nature/dobutsu/aigo revision pages + npa.go.jp/publications/statistics/R06_nenpou.pdf (March 2025) + japaneselawtranslation.go.jp,2026-09-15,verified,official_direct_fetch,e-Gov's Japanese-language primary text (laws.e-gov.go.jp) is JS-rendered and could not be fetched as text this round.
SRC-SG-01,sso.agc.gov.sg/Act/ABA1965 (full text read) + avs.nparks.gov.sg legislation page + globalanimallaw.org full statute PDF,2026-09-15,verified,official_direct_fetch,
SRC-UKSCT-01,legislation.gov.uk/asp/2020/14/contents (enacted text) + gov.scot official guidance page,2026-09-15,verified,official_direct_fetch,"Scottish SPCA's own 'report an incident' page 404'd; the COPFS reporting-agency claim rests on snippet-level corroboration only, not one authoritative fetched page."
SRC-UKNI-01,legislation.gov.uk/nia/2011/16/contents (s.1 fetched verbatim + contents + changes list) + USPCA's own 'Animal Welfare Enforcement' page,2026-09-15,verified,official_direct_fetch,"USPCA's own page states its Special Investigations Unit investigates and passes evidence to statutory agencies, and calls for 'stronger partnerships' - does NOT state USPCA independently brings private prosecutions like RSPCA. Likely correction to a common assumption, but not confirmed either way."
SRC-EU-01,European Parliament Legislative Train page + European Commission food-safety animal-welfare page,2026-09-15,verified,official_direct_fetch,EUR-Lex pages for TFEU Art.13 and Directive 2010/63/EU rendered blank/empty to WebFetch this round (likely bot-blocked or JS-dependent) - the Directive 2010/63/EU cephalopod-inclusion claim mentioned in secondary literature could NOT be verified and is NOT included in this database pending independent confirmation.
SRC-NL-01,wetten.overheid.nl/BWBR0030250/ + om.nl (2023R010 guideline PDF),2026-09-15,verified,official_direct_fetch,
SRC-NL-02,maxius.nl mirror of Wetboek van Strafrecht Art.254a,2026-09-15,verified,secondary_mirror,"wetten.overheid.nl (the primary source) returned only table-of-contents content across three attempts, not the article text itself - this mirror was used instead, flagged as needing independent primary-source confirmation."
SRC-IT-01,"normattiva.it act-detail page for Legge 82/2025 (Article 1 surfaced) + convergent secondary sources (tgcom24, giurisprudenzapenale.com, reteambiente.it, archiviopenale.it, anmvioggi.it, ali.ong)",2026-09-15,verified,official_direct_fetch,"Complete article-by-article Normattiva text was not retrieved - most specific penalty figures rest on secondary-source cross-corroboration, not a single authoritative primary-text fetch."
SRC-ES-01,boe.es BOE-A-2023-7936 (Ley 7/2023) + BOE-A-2023-7935 (Ley Organica 3/2023),2026-09-15,verified,official_direct_fetch,
SRC-ES-02,"web.guardiacivil.es SEPRONA balance page (published 2024-06-05, covering 2019-2023)",2026-09-15,verified,official_direct_fetch,"Highest-quality enforcement statistics found for Spain: animal abuse ('malos tratos a animales domesticos') was the SINGLE LARGEST category of environmental crime in 2023 (1,153 incidents), ahead of urban-planning offences and forest fires."
SRC-AUFED-01,agriculture.gov.au AAWS&G page (proxy-fetched),2026-09-15,snippet,secondary_mirror,Direct fetch to agriculture.gov.au returned 403; a text-extraction proxy (r.jina.ai) was used instead.
SRC-AUNSW-01,legislation.nsw.gov.au (proxy-fetched structural summary) + animallaw.info NSW statute summary + dpi.nsw.gov.au + rspcansw.org.au + RSPCA Australia National Statistics 2024-2025 PDF Table 5,2026-09-15,verified,official_direct_fetch,"legislation.nsw.gov.au required a text-extraction proxy due to 403-blocking of direct fetch, returned only a structural summary. National 6-year trend (Table 6): complaints 73,997 (2019-20) to 67,237 (2024-25); prosecutions 359 to 381 (non-monotonic, low of 248 in 2023-24)."
SRC-AUVIC-01,legislation.vic.gov.au version-history page (proxy) + animallaw.info Victoria statute summary + premier.vic.gov.au 2021-04-29 release + hsi.org.au + ssaavic.com.au + RSPCA Australia National Statistics 2024-2025 PDF Table 5,2026-09-15,verified,official_direct_fetch,"Victoria FY2024-25 (Table 5): 10,206 cruelty complaints investigated, 47 prosecutions finalised, 47 successful (100%), 204 charges laid, 49 people charged, 19 cases pending, 12 routine inspections. RSPCA Victoria's own annual/inspectorate report could not be fetched (404s only) - the claim that RSPCA Victoria inspectors hold police-like powers under POCTA is UNVERIFIED this round, not confirmed."
SRC-NZ-01,"mpi.govt.nz (proxy-fetched) + en.wikipedia.org (Animal Welfare Act 1999 page, dates only) + spca.nz (shelter metrics only, not enforcement stats)",2026-09-15,snippet,secondary_mirror,"legislation.govt.nz (the actual Act text) was UNREACHABLE by every method tried this round (~10 attempts: direct, nzlii.org, proxy - all returned 403/empty JS shell/timeout). Re-attempt with a different fetch method before treating any field here beyond the two Wikipedia-corroborated dates as reliable."
SRC-UKENG-02,MoJ Court Proceedings Database / Justice Data (data.justice.gov.uk/cjs-statistics); Sentencing Council statistical bulletin; RSPCA Prosecutions Annual Report 2019,2026-09-15,snippet,search_snippet,"Figures drawn from research/01_policy_effect_literature.md - not independently fetched from the primary MoJ/Sentencing Council data tools this round, only from a secondary synthesis (apparently drawing on an ALAW report). RSPCA figures are self-reported by the charity, not government statistics."
SRC-MO-02,bo.dsaj.gov.mo/bo/i/2016/30/lei04.asp (accessed via r.jina.ai proxy),2026-09-15,verified,secondary_mirror,"Direct WebFetch to this URL returned 403; routing through the r.jina.ai text-extraction proxy succeeded (twice, reproducibly) and returned structured content with verbatim Portuguese quotations from the primary legal text. This specific proxy+mirror combination had not been tried in the prior research round (which tried the proxy only against bo.io.gov.mo, and the dsaj.gov.mo mirror only via direct fetch)."
SRC-NZ-02,"PDF: auckland.ac.nz/assets/liggins/About-the-institute/animal-welfare-act-1999.pdf (Parliamentary Counsel Office reprint, as at 2007-09-03, hosted by University of Auckland's Liggins Institute)",2026-09-15,verified,secondary_mirror,"legislation.govt.nz and nzlii.org are blocked by a Cloudflare managed JavaScript challenge, confirmed this round via raw curl with browser-identical headers (not just WebFetch) - a genuine technical wall. This PDF is an authentic official government reprint hosted by a university, not the government's own site, and reflects the Act 'as at 2007-09-03' - NOT the current 2026 consolidated text. Structure and definitions verified against it; current penalty figures are corrections found only via secondary sources describing later amendments, not independently confirmed against primary text."
SRC-NL-03,"Staatsblad 2023, 242 (official) + BWBR0036294 OM prosecution guideline (expired but confirms Art.2.1/8.12 framework) + maxius.nl mirror for Wetboek van Strafrecht Arts.254/254a text",2026-09-15,verified,official_direct_fetch,wetten.overheid.nl would not render full article bodies for Art.8.12 or Art.254/254a despite five direct-fetch and proxy attempts - the Staatsblad amending-law text itself and the OM guideline were fetched directly and are the actual primary-tier sources here; Wetboek van Strafrecht article text specifically rests on the maxius.nl secondary mirror.
SRC-IT-02,"Gazzetta Ufficiale Serie Generale, Legge 82/2025 full text via its caricaArticolo AJAX endpoint (gazzettaufficiale.it)",2026-09-15,verified,official_direct_fetch,"This specific endpoint served genuine primary text directly for Arts.4 (544-septies), and also 544-quater/544-quinquies - the strongest-tier source obtained for Italy across both research rounds. Superior to SRC-IT-01, which relied mostly on secondary cross-corroboration."
SRC-CH-02,fedlex.admin.ch TSchG page accessed via r.jina.ai proxy (footnote/amendment-history citations extracted); BLV document 'revision-tschv' for the Dec.2024 TSchV ordinance revision,2026-09-15,verified,secondary_mirror,"fedlex.admin.ch's standard page is a JS-rendered SPA that returns only a loading notice on direct fetch - the r.jina.ai proxy extracted the amendment-history footnotes embedded in the law's own text, which is how the AS-citation amendment list was recovered. Full readable amending-law text (beyond the citation/date) could not be extracted from the compressed PDF this round."
SRC-NL-04,"LID (Landelijke Inspectiedienst Dierenwelzijn) 2024 annual figures, cited via dierenbescherming.nl search summary",2026-09-15,snippet,search_snippet,"LID is described in this project's own research as 'the Dutch SPCA's enforcement arm, an independent foundation' - classified ngo_self_reported accordingly, not official_government, despite its quasi-official enforcement role."
SRC-IT-03,Ministero dell'Interno figures (2024-2025) cited via vita.it press coverage,2026-09-15,snippet,search_snippet,"Direct fetch of the vita.it source returned HTTP 403 (paywall/block) - figures could not be independently verified against original ministry data. Treat as indicative, not confirmed, despite being attributed to an official government source."
SRC-UKSCT-02,Scottish SPCA 'Our Work in 2024' impact page,2026-09-15,snippet,search_snippet,"Animal Helpline call volume covers ALL calls (welfare checks, surrenders, general enquiries), not cruelty-specific reports - do not treat as directly comparable to a 'cruelty reports received' figure in another jurisdiction without accounting for this broader scope."
