study_id,jurisdiction_id,reform_evaluated,design_type,outcome_measure,citation,headline_finding,rigor_note,verification_tier
PES-KR-02,KR,,descriptive_only,"arrest rate, indictment rate, custodial sentencing rate","National Assembly member 강승규 legislative-office data release (2026), citing police/prosecutorial statistics.","2021-2024 police case volume 4,835 (arrest rate 70.5%); 2020-2024 prosecutorial referrals 4,601 (indictment rate 45.1%); only 29 people received actual prison time nationwide over five years despite statutory-penalty increases - first-instance custodial rate ~7%, fines 68.8%.","Official but not peer-reviewed. Strongest available 'penalties rose on paper, outcomes didn't' data point outside Australia.",snippet
PES-HK-01,HK,HK-CAP169-AM1,descriptive_only,average fine amount post-amendment,"HKALPO (Hong Kong Animal Law and Protection Organisation) advocacy data, cited via secondary sources.","Average fines of only ~HK$1,200 in the 18 months following the 2006 amendment (which raised the statutory maximum to HK$200,000); highest-ever sentence since 2006 was 16 months.","Advocacy-organization data, NOT peer-reviewed academic research - but the only available before/after data point suggesting a large gap between statutory maximum and applied sentence.",snippet
PES-TW-01,TW,,no_evaluation_found,N/A,N/A - systematic search found no empirical evaluation study of the 2015/2017/2022 Taiwan APA amendments.,No empirical evaluation study located.,"A 2016 government-sponsored thesis-prize program title suggested relevance but content/authors could not be independently confirmed - flagged unverified, not cited as a real study.",verified
PES-FR-01,FR,FR-CP521-AM1,no_evaluation_found,deterrent effect (unmeasured),French Senate (2022). Rapport de suivi sur l'application de la loi n. 2021-1539.,The Senate's own oversight report explicitly states that deterrent-effect statistics are NOT YET AVAILABLE - an official acknowledgment that the evaluation has not been done.,"A real, citable government oversight document, but it confirms absence of evaluation rather than providing one - hence no_evaluation_found rather than descriptive_only.",verified
PES-CN-01,CN,,qualitative_content_analysis,distribution of criminal charge types used as cruelty proxies,"Liu, Su, & Nie (2026). Protecting Companion Animals Under Chinese Criminal Law: Current Practice and Future Paths. Animals, 16(14), 2119. DOI 10.3390/ani16142119.","Content analysis of 2,706 first-instance criminal judgments (all 31 provinces, May 2019-May 2026): 16 distinct criminal charges are used to indirectly punish companion-animal harm, confirming no dedicated cruelty offense exists; identifies a total prosecution gap for the abuse-video content industry.","Doctrinal/content analysis, not a before/after evaluation of any specific reform - consistent with CN having no general anti-cruelty offense to evaluate in the first place.",verified
PES-CN-02,CN,,no_evaluation_found,compliance/enforcement post-ban,N/A - no compliance or enforcement evaluation found post-enactment of the Shenzhen/Zhuhai 2020 cat/dog-eating bans.,Only 2020 announcement-period news coverage exists; no follow-up evaluation.,"AUDIT CORRECTION 2026-09-15: downgraded from verified to snippet (this table only has two tiers) - this row's own original rigor_note (""Open gap, not further pursued this round"") already admits the search behind this no_evaluation_found finding was not systematic, which is the dictionary's own stated bar for that value. Retained as a first-pass, low-confidence gap flag, not a confirmed-absence finding; a genuinely systematic search for Shenzhen/Zhuhai post-ban compliance evaluation has not yet been done. UPDATE 2026-09-15: the underlying legal instruments (CN-SZ-WILDBAN, CN-ZH-WILDBAN) are now independently verified via official gazette text in legal_instruments.csv/provisions.csv - this resolves what the bans actually say (a food-species whitelist excluding cats/dogs by omission, not an explicit prohibition) but does NOT resolve this row's own open question, which is whether post-enactment COMPLIANCE or ENFORCEMENT was ever evaluated. That search remains not systematic; this row's snippet tier is unchanged.",snippet
PES-DE-01,DE,,descriptive_only,violation rate at disposal facilities,"Advocacy/legal-blog material (unspecified outlets), cited via secondary sources.","Claims that >10% of animals reaching disposal facilities show Animal Protection Act violations, and that enforcement is politically constrained by proximity of local veterinary offices to farms.",NOT confirmed as peer-reviewed - descriptive claims from advocacy/legal-blog sources only.,snippet
PES-IT-01,IT,IT-CP544-AM1,no_evaluation_found,N/A,"N/A - Legge 82/2025 took effect 2025-07-01, too recent for any evaluation to exist as of this database's compilation.",Too recent for evaluation - not a gap in search effort.,,verified
PES-CH-01,CH,,descriptive_only,annual criminal-practice case tracking,Tier im Recht (TIR). Swiss Animal Welfare Criminal Practice (annual monitoring report).,"Systematic, long-running annual tracking of Swiss animal-welfare criminal practice.","NGO-run, not peer-reviewed, but systematic and long-running - a usable outcome-data source for Phase 3, not itself an evaluation study.",snippet
PES-EU-01,EU,,no_evaluation_found,N/A,N/A - the EU dogs/cats welfare and traceability Regulation (the only substantive EU-level animal-welfare reform tracked in this database) has not yet entered into force as of this database's compilation (adopted but awaiting Official Journal publication - see EU-AWPACKAGE instrument notes).,No policy effect can exist to evaluate for a regulation not yet in force.,"This is a structural non-applicability, not a search failure - re-visit once EU-AWPACKAGE current_status moves from pending to in_force.",verified
PES-AUNSW-01,AU-NSW,,qualitative_content_analysis,institutional enforcement adequacy,"NSW Legislative Council, Select Committee on Animal Cruelty Laws in New South Wales, Final Report (tabled 2020-06-04).","RSPCA NSW and AWL NSW (charities, not government bodies) perform both cruelty prosecution and welfare promotion, creating a conflict of interest and undisclosed enforcement data; recommended a dedicated NSW Police animal-cruelty unit and an independent Office of Animal Protection.","Government inquiry synthesizing public submissions and hearing evidence - systematic qualitative review of institutional design/adequacy, not a causal evaluation of a specific legal change.",snippet
PES-AUNSW-02,AU-NSW,,descriptive_only,sentencing distribution,"'Sentencing Under Our Anti-Cruelty Statutes: Why Our Leniency,' Current Issues in Criminal Justice (2002), NSW Local Court data July 1998-June 2002 under POCTAA ss.5(1)/6(1).",Full-time imprisonment imposed in only ~4% of cases; most matters resolved by fine or dismissal.,"Dated (20+ years old at time of this database's compilation), purely descriptive, not linked to any specific reform.",snippet
PES-CAFED-01,CA-FED,CA-FED-CC-AM3,no_evaluation_found,N/A,"N/A - systematic search found no evaluation of any kind (academic, government, or journalistic) of Bill C-84's (2019 bestiality/animal-fighting amendment) effect on enforcement or prosecution outcomes.",Genuinely null result.,,verified
PES-CAFED-02,CA-FED,,descriptive_only,"enforcement orders and charges, pre/post a governance change","CBC Hamilton (Nov 2023), FOI-based comparison of Ontario Ministry of Solicitor General records, OSPCA period (2015-2018) vs. PAWS Act period (2020-mid 2023).","Orders fell ~57% (16,148 to a lower PAWS-period figure) and charges fell ~66% (1,946 to 667) after Ontario shifted animal-welfare enforcement from the private OSPCA to the government PAWS Act model in 2020, DESPITE the PAWS budget ($21M) being ~3.7x the OSPCA's ($5.75M) and investigation counts rising slightly (64,015 to 69,118).","Investigative journalism using official FOI'd data, not peer-reviewed; PAWS-period window is shorter (3.5yr vs 4yr) and does not control for complaint-volume or reporting-behavior changes - but it is the only systematic before/after comparison available for this governance transition. An Ontario Auditor General audit of Animal Welfare Services opened fall 2025, report expected end of 2026 - not yet available as of this database's compilation.",snippet
PES-ES-01,ES,ES-CP-AM1,descriptive_only,"prosecutions and convictions, one year post-reform","Fiscalía General del Estado, annual Memoria (2022 and 2023 editions), reported via secondary press coverage.","2022 to 2023: prosecuted crimes for animal abuse rose from 1,300 to 1,389 (+6.85%), but investigation proceedings fell (270 to 246), accusation briefs fell (335 to 285), and convictions fell (307 to 256).",CAUTION: only a single-year post-reform comparison. The apparent conviction decline is very likely a PROCESSING-LAG ARTIFACT - cases charged in 2023 typically aren't adjudicated until 2024-25 - and should NOT be read as evidence the 2023 reform reduced convictions. No study has yet isolated the reform's actual causal effect; more years of data are needed.,snippet
PES-MO-01,MO,,no_evaluation_found,N/A,N/A - systematic search (Chinese and English-language) found no data-driven or systematic assessment of Law 4/2016's enforcement effectiveness.,"Genuinely null result, consistent with this database's other findings on Macau's weak data environment.","Available commentary (e.g. a 2017 力報 article) is advocacy criticism of the high statutory threshold for criminal cruelty (requiring severe mutilation, organ failure, or death - see MO-L42016-P1) with no government statistics, no legislator quotes, and no academic literature. The law's own text reportedly mandates a two-year review, but no review document was locatable.",verified
PES-NL-01,NL,,descriptive_only,"ownership-ban (houdverbod) imposition rate, 2010-2015","Van Leiden, Van Ham, Hardeman, Scholten & Van Wijk, Dieren Verboden: De toepassing van het houdverbod als bijzondere voorwaarde bij een voorwaardelijke straf (Bureau Beke, commissioned by WODC/Ministry of Security and Justice, 2015).","The (pre-2024) houdverbod was imposed only 67 times in 2,017 animal-welfare court cases (2010-2015) - about 13/year, roughly 1 in 30 cases - heavily concentrated in the Randstad region, largely because prosecutors/judges (unlike specialist inspectorates) are mostly unfamiliar with the tool. The report states outright that the ban's actual effectiveness in preventing recidivism 'is not known, either in the Netherlands or abroad.'","Solid, systematic, government-commissioned mixed-methods study (case-data analysis + case-law review + professional interviews) - but it is an implementation/UPTAKE study, not a causal-effect study. It evaluates the PRE-2024 conditional-sentence version of the houdverbod, not the STANDALONE mechanism that took effect 2024-01-01 (see NL-WETDIEREN-AM1) - do not conflate the two; no post-2024 evaluation exists yet.",verified
PES-NL-02,NL,,no_evaluation_found,N/A,"N/A - the 2011 dierenpolitie (animal police) initiative was scaled back and effectively dissolved following the 2012 Kunduz/Lente-akkoord coalition budget agreement, for budgetary/political reasons - no formal effectiveness evaluation was conducted before or after its dissolution.",A policy initiative abandoned for political/fiscal reasons without ever being formally evaluated.,,snippet
PES-NZ-01,NZ,,descriptive_only,complaint-to-prosecution conversion rate,"Rodriguez Ferrere, M.B. (2022). 'Animal Welfare Underenforcement as a Rule of Law Problem.' Animals 12(11):1411. DOI 10.3390/ani12111411.","SPCA prosecutes only 0.27-0.4% of complaints received; ~40% of police animal-welfare apprehensions end via non-prosecution alternative processes. Framed as a rule-of-law problem, not merely a policy gap.","Peer-reviewed, but its empirical figures are drawn from a companion Otago/NZ Law Foundation study (Rodriguez Ferrere, King & Mros Larsen 2019) that could not be independently fetched (cookie wall). Neither enforcement body (RNZSPCA, itself an enforcer; MPI, also tasked with promoting primary industries) can independently represent animal interests - a structural design flaw identified in the enforcement architecture generally, not tied to one specific reform.",verified
PES-SG-01,SG,SG-ABA-AM1,descriptive_only,"40-year complaint-to-conviction conversion rate, spanning the 2014 reform","See, Alvin W.-L. (2013). 'Animal Protection Laws of Singapore and Malaysia.' Singapore Journal of Legal Studies [2013] 125-157.","Only ~45 criminal convictions for animal cruelty nationally between 1985 and 2012 (pre-2014-reform baseline); 2011-12: SPCA investigated 1,017 complaints vs. AVA (AVS's predecessor) 444, of which only 2 were prosecuted. This pre-reform conversion rate is essentially IDENTICAL to the post-2014-reform rate this database already records (SG-2023-2026-01/02: ~75 cases/year investigated, ~2/year prosecuted) - suggesting continuity across four decades, i.e. the 2014 Amendment Act's penalty increase did NOT meaningfully shift the underlying enforcement conversion rate.","Credible legal-empirical synthesis of official secondary data (SPCA case records, AVA annual reports/parliamentary answers), not a designed pre/post comparison with matched periods - no later study has re-tested this specific comparison since 2013. The continuity finding is this database's own inference from combining two separately-sourced data points 13+ years apart, not a claim made by either source itself.",verified
PES-UKNI-01,UK-NI,,qualitative_content_analysis,institutional enforcement adequacy,"DAERA/Department of Justice (Northern Ireland), Review of the Implementation of the Welfare of Animals Act (Northern Ireland) 2011 (Interim + Final Report, review process 2014-2019).",PSNI's animal-welfare delivery model assessed as operationally 'rational' and 'working well'; the review could not verify advocacy groups' claimed scale of the abandoned-equine problem and relied instead on Council/PSNI seizure counts; recommended raising the maximum summary-conviction sentence for the most serious offences from 6 to 12 months.,"Official government-commissioned systematic review (joint DAERA/DOJ, multi-agency data) - the closest thing among this batch of 8 jurisdictions to a formal government impact review, though it assesses institutional adequacy rather than a quantified before/after outcome. PDF body blocked (403) across three mirrors - findings rest on page-level metadata and secondary summaries. USPCA's own more recent review reportedly still finds persistently low prosecution rates and only 10 Animal Welfare Officers across 11 District Councils (weekday hours only), suggesting capacity gaps remained after this review closed.",snippet
