table_name,field_name,data_type,controlled_vocabulary,description,example
amendments,amendment_id,string (primary key),,,FR-CP521-AM1
amendments,instrument_id,string (foreign key -> legal_instruments),,,FR-CP521
amendments,amending_instrument_id,string or null,,"If the amending law has its own instrument_id (e.g. a standalone reform act), reference it here",FR-LOI2021
amendments,change_summary,string,,One or two sentences describing what actually changed,Raised sentencing tiers; added sexual-abuse and filming/broadcasting offences
amendments,enactment_date,date (ISO 8601),,,2021-11-30
amendments,effective_date,date (ISO 8601),,,2021-12-02
amendments,verification_status,string,verified | snippet | unverified,,verified
sources,source_id,string (primary key),,,SRC-FR-01
sources,url,string (URL),,,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000044394119
sources,retrieved_date,date (ISO 8601),,Date this project fetched the source,2026-09-15
sources,verification_tier,string,verified | snippet | unverified,,verified
sources,fetch_method,string,official_direct_fetch | secondary_mirror | search_snippet,,official_direct_fetch
sources,access_note,string,,"Free text for access difficulties worth remembering (e.g. 'JS-rendered page, WebFetch returns only a loading shell - needs a browser-rendering tool or manual check')",elegislation.gov.hk is a JS SPA; WebFetch returns only a loading shell
policy_effect_studies,study_id,string (primary key),,,PES-AU-01
policy_effect_studies,jurisdiction_id,string (foreign key -> jurisdictions),,,AU-FED
policy_effect_studies,reform_evaluated,string (foreign key -> amendments) or null,,,
policy_effect_studies,design_type,string,quasi_experimental_prepost | diff_in_diff | descriptive_only | qualitative_content_analysis | no_evaluation_found,"no_evaluation_found is a first-class value, not a placeholder for missing data - record it explicitly when a systematic search turns up nothing rigorous for a given reform.",quasi_experimental_prepost
policy_effect_studies,outcome_measure,string,,,average fine amount; average custodial sentence length
policy_effect_studies,citation,string,,Full APA-style citation,"Morton, R., Hebart, M. L., & Whittaker, A. L. (2018). ..."
policy_effect_studies,headline_finding,string,,One-sentence summary of the result,"Average fines rose from AUD 700 to AUD 1,535 post-reform"
policy_effect_studies,rigor_note,string,,,"314 RSPCA-SA case files, 2006-2018, no control group"
policy_effect_studies,verification_tier,string,verified | snippet,,verified
enforcement_statistics,stat_id,string (primary key),,Format: {jurisdiction_id}-{year or period}-{n},FR-2024-01
enforcement_statistics,jurisdiction_id,string (foreign key -> jurisdictions),,,FR
enforcement_statistics,period,string,,A single year (YYYY) or an explicit range (YYYY-YYYY) when the source only reports an aggregate/average across multiple years - never force a multi-year aggregate into a single fabricated year.,2024
enforcement_statistics,metric_type,string,reports_received | prosecutions_initiated | prosecutions_finalised | convictions | custodial_sentences | fines_imposed | persons_arrested | persons_charged | complaints_investigated | routine_inspections,,convictions
enforcement_statistics,value,number,,"The count itself. For a rate (e.g. conviction rate, arrest rate) use value_is_rate=TRUE and express as a percentage (0-100), not a fraction.",1156
enforcement_statistics,value_is_rate,boolean,TRUE | FALSE,TRUE if value is a percentage rate rather than a raw count.,FALSE
enforcement_statistics,data_source_type,string,official_government | ngo_self_reported | advocacy_estimate,Three-way split is mandatory - do not blend an NGO's self-reported prosecution count with a government statistical office's figures without this field distinguishing them.,official_government
enforcement_statistics,source_id,string (foreign key -> sources),,,SRC-FR-04
enforcement_statistics,caveat,string,,"Free text for methodological limitations specific to this statistic - e.g. a known undercount mechanism, a change in reporting-agency participation over time, or why a period is an aggregate rather than a single year.",
